sample_name,cent_tolerance,algorithm,fundamental_f1,harmonic_f1,combined_f1
overtone_singing_song,150,SWIPE,0.8671,0.7578,0.8877
overtone_singing_song,150,YIN,0.8753,0.7629,0.9080
overtone_singing_song,150,pYIN,0.8495,0.8246,0.9027
overtone_singing_song,150,HPS,0.8038,0.7130,0.8271
paralel_overtones01,150,SWIPE,0.9434,0.8444,0.9296
paralel_overtones01,150,YIN,0.9315,0.7937,0.9008
paralel_overtones01,150,pYIN,0.9375,0.8369,0.9210
paralel_overtones01,150,HPS,0.9434,0.7786,0.9000
paralel_overtones02,150,SWIPE,0.9065,0.8121,0.9086
paralel_overtones02,150,YIN,0.9071,0.8050,0.9074
paralel_overtones02,150,pYIN,0.8899,0.8416,0.9055
paralel_overtones02,150,HPS,0.8177,0.7151,0.8077
sygyt,150,SWIPE,0.8170,0.7101,0.8584
sygyt,150,YIN,0.7063,0.4330,0.7154
sygyt,150,pYIN,0.7176,0.6957,0.7891
sygyt,150,HPS,0.1683,0.4275,0.3408
sygyt_02,150,SWIPE,0.8434,0.7356,0.8518
sygyt_02,150,YIN,0.7097,0.5571,0.7581
sygyt_02,150,pYIN,0.6351,0.7576,0.7469
sygyt_02,150,HPS,0.6877,0.6233,0.7128
changing_fundamental,200,SWIPE,0.9284,0.7942,0.9052
changing_fundamental,200,YIN,0.9379,0.7907,0.9117
changing_fundamental,200,pYIN,0.9169,0.8626,0.9262
changing_fundamental,200,HPS,0.9133,0.7596,0.8783
fundamental_opposite_harmonic,200,SWIPE,0.9091,0.7882,0.9152
fundamental_opposite_harmonic,200,YIN,0.9026,0.8221,0.9309
fundamental_opposite_harmonic,200,pYIN,0.8930,0.8934,0.9509
fundamental_opposite_harmonic,200,HPS,0.8708,0.7755,0.8861
fundamental_opposite_harmonic02,200,SWIPE,0.9345,0.7609,0.8962
fundamental_opposite_harmonic02,200,YIN,0.9340,0.8222,0.9251
fundamental_opposite_harmonic02,200,pYIN,0.9030,0.8661,0.9210
fundamental_opposite_harmonic02,200,HPS,0.8761,0.7292,0.8450
fundamental_steps,200,SWIPE,0.9014,0.8087,0.8995
fundamental_steps,200,YIN,0.8903,0.7971,0.9018
fundamental_steps,200,pYIN,0.8815,0.8744,0.9184
fundamental_steps,200,HPS,0.8558,0.7314,0.8384
fundamental_steps02,200,SWIPE,0.9007,0.7845,0.9160
fundamental_steps02,200,YIN,0.8899,0.7902,0.9239
fundamental_steps02,200,pYIN,0.8674,0.8613,0.9282
fundamental_steps02,200,HPS,0.8936,0.8031,0.9157
fundamental_steps03,200,SWIPE,0.9002,0.7947,0.9332
fundamental_steps03,200,YIN,0.8884,0.8010,0.9409
fundamental_steps03,200,pYIN,0.8927,0.8703,0.9619
fundamental_steps03,200,HPS,0.8577,0.7702,0.8959
kargyraa,200,SWIPE,0.9362,0.0000,0.1347
kargyraa,200,YIN,0.9633,0.6826,0.8549
kargyraa,200,pYIN,0.9697,0.6307,0.8058
